fname,summary
test_0,"#Person1#은 모든 직원들에게 사내 통신이 이메일과 공식 메모로만 제한되며, 즉시 메시지 프로그램 사용이 금지된다고 알리는 메모를 받아쓰기하라고 Ms. Dawson에게 요청한다."
test_1,#Person2#가 차로 출퇴근하는 것에 대해 불평한다. #Person1#은 대중교통을 이용하는 것을 제안한다. #Person2#는 동의한다.
test_2,"#Person1#이 Kate에게 Masha와 Hero가 이혼을 신청했다고 말한다. 그들은 두 달 동안 별거 중이었고, 모든 것이 조용하고 원만하게 진행되고 있다."
test_3,"#Person1#은 Brian의 생일 파티에 참석하고 Brian과 춤을 추며, Brian은 #Person1#이 멋지다고 생각한다."
test_4,#Person1#과 #Person2#는 올림픽 스타디움을 방문하고 있다. #Person2#는 #Person1#에게 스타디움의 좌석 수와 완공 시기에 대해 설명한다.
test_5,#Person1#은 회사를 차리려고 하고 #Person2#에게 사업 계획서를 어떻게 작성해야 하는지 묻습니다. #Person2#는 #Person1#에게 사업 아이디어를 요약하고 회사의 법적 구조를 제시하고 상품을 소개하고 시장 분석을 하고 금융 분석을 하는 등 많은 것을 알려줍니다. #Person1#은 이 모든 것이 번거롭다고 생각합니다.
test_6,#Person2#는 간지럽고 어지럽습니다. #Person1#는 #Person2#가 수두에 걸렸다고 생각하고 #Person2#를 멀리 떨어뜨리려고 합니다. #Person2#는 오트밀 목욕을 하려고 합니다.
test_7,#Person2#는 체크아웃 시 세탁 서비스 요금이 잘못 청구되었다는 것을 발견합니다. #Person1#는 사과하고 수정합니다.
test_8,#Person1#이 스티븐에게 아내와 비서 사이에 일어난 일에 대해 이야기한다. 스티븐은 #Person1#을 설득하려고 노력할 것이다.
test_9,#Person1#과 #Person2#는 아브라함 링컨의 훌륭한 인품에 대해 이야기하고 있다.
test_10,"#Person2#는 허베이로 여행을 가려고 합니다. #Person1#은 #Person2#에게 황사에 대해 알려주고, 황사가 사람들의 건강에 미치는 영향에 대해 이야기합니다."
test_11,#Person2#는 Francis의 생일 파티에 참석하고 그에게 원격 조종 자동차 모델을 선물로 줍니다. Francis는 그것이 그가 좋아하는 브랜드라고 생각합니다.
test_12,Tony는 부정행위를 하다가 들킨 것에 대해 Steven에게 불합격에 대해 이야기한다. Steven은 Tony에게 열심히 공부하라고 조언한다.
test_13,"#Person1#은 9시 30분 기차를 타야 하므로, #Person1#은 나가야 합니다."
test_14,"#Person1#은 #Person2#에게 #Person1#의 삶을 어떻게 조정해야 할지 조언해달라고 요청한다. #Person2#는 #Person1#에게 충분히 자고, 아침에 운동하며, 미래를 걱정하지 않도록 조언한다."
test_15,"#Person1#은 #Person2#에게 Ruojia가 결혼했다고 말하고, 그녀의 트위터에서 그 소식을 봤다고 말한다. #Person2#는 이메일을 확인하고 파티에 무엇을 가져갈지 결정한다."
test_16,"#Person1#과 #Person2#는 게임을 하고 있다. #Person1#은 재미있다고 생각하는 반면, #Person2#는 좀 잔인하다고 생각한다."
test_17,마이크는 #Person1#에게 그의 여동생이 키가 크고 예쁘지만 그보다 덜 똑똑하다고 말한다.
test_18,"#Person1#이 머리가 아파서 #Person2#에게 도움을 청하고, #Person2#는 #Person1#의 체온을 측정한다."
test_19,#Person2#는 #Person1#의 도움으로 새 휴대폰을 구입합니다.
test_20,프랭크는 주디에게 우체국에서 일하게 되었다고 말한다. 그는 업무 일정이 빡빡하지만 좋은 건강보험 혜택을 제공한다고 말한다.
test_21,"#Person1#은 #Person2#에게 면접을 보고 #Person2#의 기술, 자격증, 훈련, 경력에 대해 묻습니다."
test_22,#Person1#이 #Person2#에게 스테이크를 바꿔 달라고 요청합니다. #Person2#는 동의합니다.
test_23,#Person1#은 Tom에게 그의 소설이 노벨상을 받았다고 알렸다. Tom은 믿을 수 없어하고 감사해한다.
test_24,#Person2#는 #Person1#에게 #Person2#의 전공과 이전 직장에서의 업무에 대해 이야기합니다.
test_25,"#Person1#과 #Person2#는 술 마시는 습관에 대해 이야기합니다. #Person1#은 술을 많이 마시지 않고, #Person2#는 보통 밤새 마십니다. #Person2#는 내일 밤에 나가자고 제안하고, #Person1#은 동의합니다."
test_26,"#Person1#과 메이는 소풍 준비를 하고 있다. #Person1#은 메이에게 다니엘에게 도움을 청하라고 제안하지만, 메이는 거절한다."
test_27,James는 Susan과 함께 Muriel Douglas를 만나러 갑니다. 그들은 휴일을 어떻게 보냈는지에 대해 이야기합니다.
test_28,"#Person1#은 ATM에서 돈을 인출하려고 했지만, #Person1#의 돈이 세계 야생동물 재단으로 이체되었다. #Person1#은 돈을 돌려달라고 요청하지만, ATM은 출입구를 봉쇄하고 지역 당국을 기다리고 있다."
test_29,#Person2#는 #Person1#에게 #Person2#가 사교적이며 진실을 말하는 것을 좋아한다고 말합니다.
test_30,"Mr. Polly는 가게에서 음료수를 사고 싶지만, #Person1#의 상사가 그곳에 있습니다. #Person1#은 사줄 수 없으므로 Mr. Polly는 직접 가게에 가야 합니다."
test_31,모니카는 프랜시스에게 금요일 오후에 재무 보고서를 검토하기 위해 만날 예정이다.
test_32,#Person1#과 #Person2#는 다음 주 인터뷰를 준비하기 위해 워크숍에 참석하고 있다. 그들은 인터뷰를 준비하는 방법에 대해 이야기한다.
test_33,"#Person1#은 Mike에게 그의 연기가 느낌이 잘못되었다고 말하고, 그가 분노와 슬픔을 동시에 느끼는 대신, 그의 캐릭터가 먼저 상처받고 슬퍼하는 것을 원한다고 말한다."
test_34,#Person1#이 아내와 함께 쇼핑을 가기 위해 #Person2#의 집에 들러 인사를 합니다.
test_35,빌이 피곤해하고 #Person1#은 그에게 집에 가서 쉬라고 조언한다. 빌은 #Person1#에게 그의 형이 미국에서 출장 중이라고 말한다. 그들은 친구를 만나러 갈 예정이다.
test_36,"Simon은 내일 핵무기 확산을 막는 데 도움을 주는 시위에 가고 싶어한다. Cleo는 시위가 무언가를 성취하는 것 같지 않다고 생각하고, 그녀는 시위에 가고 싶지 않다. Cleo는 Simon에게 그의 정치학 수업 학생들에게 물어보라고 제안한다."
test_37,"#Person1#은 #Person2#가 잘못을 저질렀다고 생각하지만, #Person2#는 동의하지 않는다."
test_38,Mark는 Maggie의 역사 노트를 빌리려고 합니다. Maggie는 그가 수업 중에 졸리기 때문에 스터디 파트너가 되어 함께 공부하자고 제안합니다.
test_39,"#Person2#는 Turner 교수님에게 지질학 고급 과목에 등록할 수 있는지 물어봅니다. #Person2#는 이 과목이 어렵다는 것을 알고 있지만, 배우고 싶어합니다."
test_40,"#Person1#은 #Person2#의 가게에서 펜던트를 샀지만, 그것이 깨져서 새 것으로 교환하려고 합니다."
test_41,"#Person1#은 박싱 데이 세일을 위해 옷을 바꾸려고 하고 #Person2#에게 의견을 물어보지만, #Person2#는 게임을 보고 싶어한다. #Person1#은 #Person2#에게 화가 나서 #Person2#의 고향팀을 모욕한다."
test_42,"#Person1#은 #Person2#에게 직업을 선택하는 데 도움을 주고, #Person2#는 인터랙티브 미디어를 선택한다."
test_43,#Person2#는 연설이 지루하다고 생각하지만 #Person1#는 여기 있는 것이 중요하다. #Person1#는 #Person2#에게 신문을 읽어보라고 제안한다.
test_44,#Person1#은 사라에게 도시 중심에서 좀 떨어진 곳에 집을 사면 돈을 아낄 수 있다고 조언한다. #Person1#은 시누이의 예를 들어 설명한다.
test_45,"#Person1#은 런던에서 정보 담당관으로 일하고 있는 Mark Leach씨를 인터뷰합니다. Mark Leach씨는 #Person1#에게 그의 직무에 대해 이야기하고, 그의 팀이 해외 방문객들에게 제공하는 서비스에 대해 설명합니다."
test_46,Lin Fang과 Lucy는 다음 수업이 영어라는 것을 알게 된다. 그들은 각자 좋아하는 과목과 싫어하는 과목에 대해 이야기한다.
test_47,James는 Mrs. Thomas의 집에서 청소를 하고 개를 산책시켜 줍니다. James는 Mrs. Thomas에게 다음 주말에 할아버지 뵈러 가야 하기 때문에 여동생 Allison이 오게 될 것이라고 말합니다.
test_48,#Person1#과 #Person2#는 난방을 껐지만 여전히 춥다고 느낀다.
test_49,#Person1#은 Mike에게 그의 연기가 화와 슬픔이 동시에 나와야 한다고 생각하지 않아서 다시 시작하라고 요청한다.
test_50,"#Person1#은 중요한 일이 있어서 #Person2#의 택시를 타고 프렌드쉽 호텔로 빠르게 가고, #Person1#은 #Person2#에게 20위안을 지불한다."
test_51,#Person1#은 버스를 탈 잔돈이 없어서 #Person2#에게 돈을 빌려달라고 요청한다. #Person2#는 #Person1#에게 환승권을 받는 것을 제안한다.
test_52,#Person2#는 #Person1#에게 그들이 있는 도시와 회사에 대해 설명합니다.
test_53,#Person1#이 #Person2#에게 Lulu와 Vic이 헤어졌다고 말한다. #Person2#는 놀란다.
test_54,데이브가 짐에게 전화를 걸었지만 짐은 없었습니다. 샐리는 짐에게 데이브가 전화했다고 전할 것입니다.
test_55,"#Person2#가 #Person1#에게 시청으로 가는 길을 알려줍니다. #Person1#은 처음에는 잘 못 들었지만, #Person2#가 다시 말해준 후에는 이해했습니다."
test_56,"#Person1#은 백화점에서 신발을 사려고 보여주기 위해 사용한 여권을 잃어버렸습니다. #Person2#는 #Person1#에게 분실물 보고서를 작성하라고 요청하고, 대사관에 연락하라고 제안합니다."
test_57,"Leah는 Nathaniel에게 Ms. Collins가 다음 주까지는 전화를 드릴 수 없으며, 그녀가 Nathaniel과 이야기할 수 있는 다른 사람을 찾는 데 도움을 주겠다고 말합니다."
test_58,#Person1#과 #Person2#는 Sarah가 Dick과 결혼하기로 결정한 것에 놀랐다.
test_59,"#Person1#과 #Person2#는 파티에서 만나고 있다. #Person2#는 빨간 드레스를 입은 금발 여자에게 반하지만, #Person2#는 그녀에게 말을 걸기에는 너무 긴장하고 있다. #Person1#은 #Person2#에게 용기를 내라고 격려한다."
test_60,#Person1#과 #Person2#는 이번 학기 수업에 대해 이야기하고 있다.
test_61,"#Person1#과 #Person2#는 어제 베이징에 있었던 폭풍우에 대해 이야기한다. #Person2#는 오늘도 비가 올 수도 있다고 말하고, 그 후에는 베이징의 여름, 봄, 겨울에 대해 이야기한다."
test_62,"#Person1#은 #Person2#에게 영화를 보러 가자고 제안한다. #Person2#는 공포, 탐정, 코미디, 멜로 영화를 보고 싶지 않다. #Person2#는 전쟁 영화를 보고 싶어한다. #Person1#은 놀란다."
test_63,"#Person1#은 Adam에게 학교를 안내해달라고 요청한다. Adam은 #Person1#에게 도서관, 고등학교 교실 건물, 그리고 수영장에 대해 설명한다."
test_64,#Person1#이 #Person2#에게 임신했다고 말한다. #Person2#는 매우 기뻐한다.
test_65,#Person1#과 #Person2#는 John이 그 여자와 데이트를 하는 빈도에 대해 이야기하고 있습니다.
test_66,"#Person1#은 #Person2#에게 시스템 업그레이드를 제안하고, 그림 그리기 프로그램을 추가하고 하드웨어를 업그레이드하는 것을 제안한다."
test_67,"#Person2#는 #Person1#에게 크렌쇼와 호손으로 가는 길에 있다고 말합니다. #Person2#는 중국에서 왔고, #Person1#는 #Person2#가 젊어 보인다고 생각합니다. #Person2#는 #Person1#에게 자신의 나이를 말하고, #Person1#는 #Person2#에게 스페인어를 할 수 있다고 말합니다."
test_68,#Person1#은 몸무게가 늘어나고 싶지 않다. #Person2#는 #Person1#에게 운동 수업에 가보라고 조언한다.
test_69,"#Person1#은 James에게 방이 준비되지 않았다고 말하고, James는 방에서 기다리기로 결정했습니다."
test_70,"#Person2#는 #Person1#에게 공장의 면적, 설립 연도, 직원 수에 대해 설명합니다. 그들은 생산 현장으로 이동할 예정입니다."
test_71,"#Person1#은 Rebecca에게 그녀의 첫 직장에 대해 묻습니다. Rebecca는 #Person1#에게 인턴으로 시작했고, 그 후에 주니어 로컬 뉴스 리포터로 승진했다고 말합니다. 그녀는 2006년에 런던 주간지로 이직했습니다."
test_72,"#Person1#과 #Person2#는 조별 발표를 위해 포스터를 만들기 위해 필요한 물건을 사러 가려고 한다. #Person2#는 쇼핑 리스트를 작성하라고 제안한다. #Person1#은 선반 위의 표시판을 보여주고, #Person2#는 #Person1#이 근시라고 생각한다."
test_73,Mary는 매일 인력시장을 다니고 있다. #Person1#은 그녀에게 인터넷으로 취직 지원하는 것을 제안하고 그 방법을 설명한다.
test_74,#Person2#는 쇼핑에 한 달에 300달러만 쓰려고 예산을 짜고 있다. #Person1#는 그것이 좋은 생각이라고 생각한다.
test_75,Jane은 Susan을 병원에 보러 가려고 한다. Henry는 Jane에게 13번 버스를 타고 시내 중심에서 두 마일을 걸어가라고 말한다.
test_76,#Person1#은 내년 판매 예측에 대해 #Person2#와 얘기하고 싶어합니다. 그들은 다음 화요일 오후에 만날 예정입니다.
test_77,#Person2#는 #Person1#에게 '뉴욕에서의 친구'라는 개인 관광 안내 서비스를 추천한다.
test_78,"#Person2#는 #Person1#에게 회사에 대해 묻고, #Person1#는 #Person2#에게 회사의 연봉과 복리후생에 대해 설명합니다. #Person2#는 만족합니다."
test_79,#Person1#은 계약서에 서명하러 왔지만 아직 준비되지 않았습니다. #Person2#는 오늘 밤까지 준비할 것입니다.
test_80,#Person1#이 ABC 렌터카에 전화를 걸어 친구가 다쳤다고 알렸습니다. #Person2#는 구급차와 경찰을 부를 것입니다.
test_81,#Person2#가 #Person1#에게 학교 보건실로 가는 길을 알려줍니다.
test_82,#Person2#는 짐 엘리베이터 소리 때문에 방을 바꾸고 싶어합니다. #Person1#는 내일 아침에 떠나는 관광 회사 때문에 내일까지 기다려야 한다고 말합니다.
test_83,#Person1#은 #Person2#를 베이징 호텔로 데려가고 Mr. Wu가 #Person2#를 위한 연회에 초대할 것입니다. #Person2#는 감사하다고 말합니다.
test_84,#Person1#이 길을 잃었습니다. #Person2#는 #Person1#에게 위치를 알려주고 유이창으로 가는 방법을 알려줍니다.
test_85,#Person2#의 컴퓨터가 고장나서 #Person1#은 수리공에게 전화하는 것을 제안한다.
test_86,"#Person2#는 어머니의 생일 선물을 찾고 있습니다. #Person1#는 보석보다는 시계를 추천하고, #Person2#는 숫자가 크고 명확한 새 시계를 원합니다. #Person1#는 금색 시계를 추천하고, #Person2#는 그것을 구매합니다."
test_87,"Mr. Fisher와 Ms. Ross는 발표를 위한 방을 예약하고 있다. 그들은 방, 커피, 스낵 뷔페를 15% 할인가로 청구하고, 음료는 비례해서 청구할 것이다. 그들은 방에 오버헤드 프로젝터와 음향 시스템이 있을 것이라고 생각한다. 그들은 초대장을 100장 보냈지만, Mr. Fisher는 30명 정도만 올 것이라고 생각한다."
test_88,"#Person2#는 #Person1#에게 러시아와 캐나다 사이의 주요 차이점에 대해 이야기합니다. #Person2#는 러시아 사람들이 빠르게 움직이는 반면, 캐나다 정부는 문제를 해결하고 새로운 기술을 활용해 비즈니스를 더 잘 운영할 수 있게 해줍니다."
test_89,#Person2#는 카리브해로 여행을 가고 싶어합니다. #Person1#은 #Person2#에게 그곳이 가끔 날씨가 안 좋다고 말합니다. #Person2#는 운이 좋길 바라며 가기로 결정합니다.
test_90,#Person1#이 엄마에게 소풍에 가져갈 과일을 물어봅니다.
test_91,#Person1#은 내일 아침에 경제형 차량을 빌리기 위해 #Person2#에게 운전면허증을 보여줍니다.
test_92,#Person1#과 #Person2#는 사람들이 웃는 것에 대한 다른 의견을 공유한다.
test_93,#Person1#과 #Person2#는 작년 판매 실적에 대해 이야기하고 있다. 그들은 Wallace의 리더십과 새로운 마케팅 전략이 성공에 기여했다고 생각한다. 그들은 재정적 어려움이 영원히 끝나길 바란다.
test_94,#Person2#가 가방을 잃어버렸고 돈을 빌려달라고 #Person1#에게 요청한다. #Person1#은 동의하고 #Person2#를 집에 데려다줄 것이다.
test_95,Lin은 Steven에게 중국에서 팁을 주지 않는다고 말한다. Steven은 이 시스템이 문명적이라고 생각한다.
test_96,빌이 #Person1#에게 Brain Locker와 헤어져서 이사했다고 말한다.
test_97,"#Person2#는 Tom Wilson의 체크아웃을 도와주고, 그는 신용카드로 결제할 것입니다."
test_98,수잔이 캐롤에게 전화를 걸었지만 캐롤은 바쁘다. #Person1#이 수잔에게 캐롤이 파티가 내일 밤 8시 반에 질의 집에서 열린다고 말해준다.
test_99,"#Person1#은 #Person2#를 어디서 본 것 같다고 생각하지만, #Person2#는 #Person1#에게 자신이 그곳에 일하지 않는다고 말합니다."
test_100,#Person1#과 #Person2#는 트럼프에 대해 이야기하고 있다. #Person2#는 그를 찍었고 그가 미국을 다시 위대하게 만들 것이라고 믿는다. #Person1#는 그가 적임자가 아니라고 생각하고 바이든을 찍을 것이다.
test_101,#Person1#은 ATM을 사용하는 방법을 모른다. #Person2#는 #Person1#에게 카드를 기계에 넣고 비밀번호를 입력하라고 말한다.
test_102,"수잔 밀러가 John에게 사무실 절차에 관한 메모를 찾는 데 도움을 청하나, John은 그 메모를 찾지 못한다."
test_103,#Person1#이 Lily에게 소풍에 초대한다. Lily는 동의한다.
test_104,"#Person2#는 중국에서 식사하는 것이 독특한 경험이라고 생각하며, 외국인들이 중국 식기류에 익숙해지는 것은 어렵지 않다고 말합니다. #Person1#는 #Person2#에게 젓가락을 밥그릇에 꽂지 말라고 경고합니다."
